證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
031034,義隆凱基0A購02,"573,000",25,"677,280",1.14,1.23,1.06,1.23,+,0.06,1.21,499,1.23,30,212.00
031035,華新科凱基0A購03,"407,000",13,"298,500",0.64,0.76,0.64,0.74,+,0.05,0.74,100,0.76,50,217.00
031036,長榮航凱基0A購03,"11,000",1,"22,000",2.00,2.00,2.00,2.00,-,0.20,2.20,100,2.35,5,20.30
031037,聯陽凱基0A購01,"180,000",9,"137,600",0.69,0.81,0.69,0.81,+,0.04,0.78,100,0.80,30,125.50
031038,聯詠凱基12購02,0,0,0,--,--,--,--, ,0.00,0.31,100,0.32,100,509.00
031039,群創凱基0A購04,"303,000",2,"97,230",0.32,0.41,0.32,0.41,X,0.00,0.41,499,--,0,21.00
031040,群創凱基0B購07,"11,000",2,"3,370",0.30,0.37,0.30,0.37,+,0.11,0.37,498,--,0,21.00
031041,乙盛凱基0A購03,0,0,0,--,--,--,--, ,0.00,0.34,100,0.35,100,62.20
031042,祥碩凱基0A購01,0,0,0,--,--,--,--, ,0.00,1.35,100,1.45,10,"1,505.00"
031043,彩晶凱基0B購04,0,0,0,--,--,--,--, ,0.00,1.87,360,--,0,22.15
031044,同欣電凱基0A購02,"41,000",2,"13,940",0.34,0.34,0.34,0.34,X,0.00,0.34,458,--,0,196.50
031045,瑞祺凱基0A購02,0,0,0,--,--,--,--, ,0.00,0.14,100,0.24,10,121.50
031046,元石油元大0B購04,"16,000",3,"28,160",1.76,1.76,1.76,1.76,-,0.11,1.81,100,1.91,10,12.26
031047,中鋼元大0A購01,"10,000",1,"43,100",4.31,4.31,4.31,4.31,X,0.00,4.21,200,4.31,10,35.45
031048,中鋼元大0C購01,0,0,0,--,--,--,--, ,0.00,4.20,1,5.50,1,35.45
031049,大成鋼元大0A購06,"13,000",1,"24,960",1.92,1.92,1.92,1.92,+,0.05,1.84,100,1.94,10,45.95
031050,光磊元大0A購01,0,0,0,--,--,--,--, ,0.00,0.34,100,0.35,50,25.75
031051,光磊元大0C購01,0,0,0,--,--,--,--, ,0.00,0.57,100,0.58,50,25.75
031052,華邦電元大0A購02,0,0,0,--,--,--,--, ,0.00,1.21,100,1.31,10,34.45
