公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
4960,誠美材,-,-9.85,1003787,38.61,652800,904855,38.61,652800,904855
4976,佳凌,本月營收較去年同期增加主要係因客戶需求增加所致,6.26,162222,127.64,75724,172380,127.64,75724,172380
5234,達興材料,-,12.9,340076,5.71,363210,383951,5.71,363210,383951
5484,慧友,-,-2.79,28488,35.28,20468,27691,35.28,20468,27691
6116,彩晶,主要為面板價格較去年同期上漲所致。,-3.48,2570825,124.69,1104346,2481360,124.69,1104346,2481360
6120,達運,主要係業務量增加。,-4.91,1637336,59.19,977917,1556826,59.19,977917,1556826
6131,鈞泰,為本期認列之投資損失較去年同期少所致。,-101.45,17444,45.02,-462,-254,45.02,-462,-254
6164,華興,-,17.37,76802,17.11,76969,90143,17.11,76969,90143
6168,宏齊,-,3.87,229997,16.72,204679,238906,16.72,204679,238906
6176,瑞儀,-,-14.25,5890501,45.03,3482446,5050882,45.03,3482446,5050882
6209,今國光,本月出貨相對暢旺，且去年1月為農曆新年工作天數較少,2.85,313874,73.04,186566,322839,73.04,186566,322839
6225,天瀚,行車紀錄器及數位影像產品逐漸發酵所致,-78.35,3290,24.25,573,712,24.25,573,712
6226,光鼎,-,-24.86,100211,35.2,55684,75290,35.2,55684,75290
6278,台表科,-,-7.71,4054698,33.15,2810024,3741820,33.15,2810024,3741820
6289,華上,本月營收較去年同期增加，主要係因去年同期適逢農曆新年假期，影響客戶拉貨動能。,-13.67,10111,95.03,4475,8728,95.03,4475,8728
6405,悅城,-,-22.93,33655,4.16,24900,25936,4.16,24900,25936
6443,元晶,-,20.85,301090,15.77,314305,363883,15.77,314305,363883
6477,安集,-,-12.09,52184,-1.7,46669,45871,-1.7,46669,45871
6668,中揚光,-,-19.4,137474,11.44,99420,110795,11.44,99420,110795
6706,惠特,-,11.44,339683,28.84,293821,378564,28.84,293821,378564
8104,錸寶,109年下半年後客戶訂單持續回升所致,7.63,143687,63.56,94555,154659,63.56,94555,154659
8105,凌巨,-,11.95,673307,34.88,558850,753779,34.88,558850,753779
8215,明基材,-,1.89,1363605,28.11,1084535,1389499,28.11,1084535,1389499
2314,台揚,-,9.57,367323,7.42,374659,402476,7.42,374659,402476
2321,東訊,-,1.79,80826,-4.1,85799,82276,-4.1,85799,82276
2332,友訊,-,-6.92,1354384,6.8,1180303,1260594,6.8,1180303,1260594
2345,智邦,-,-30.94,6336478,19.07,3674679,4375535,19.07,3674679,4375535
2412,中華電,-,-30.38,24590681,2.53,16696282,17119318,2.53,16696282,17119318
2419,仲琦,配合客戶需求出貨量增加,-23.65,1266445,107.29,466414,966835,107.29,466414,966835
2439,美律,主要客戶耳機新產品從9月開始銷售大幅增加，及因疫情影響，頭機銷售增加。,-17.53,3946322,75.6,1853159,3254313,75.6,1853159,3254313
2444,兆勁,-,-31.73,230155,9.85,143016,157104,9.85,143016,157104
2450,神腦,-,8.18,2507827,11.98,2422784,2713138,11.98,2422784,2713138
2455,全新,-,-5.66,289420,25.67,217250,273020,25.67,217250,273020
2485,兆赫,客戶端因應市場需求，而季節性調整出貨時程。,-14.03,679544,59.8,365560,584193,59.8,365560,584193
2498,宏達電,-,-19.83,614579,2.99,478357,492663,2.99,478357,492663
3025,星通,-,-40.26,79969,-37.51,76447,47770,-37.51,76447,47770
3027,盛達,主要係來自北美網通路由器訂單和太陽能變流器訂單增加所致,12.57,62250,55.79,44983,70080,55.79,44983,70080
3045,台灣大,-,-1.84,12720536,15.55,10805501,12485995,15.55,10805501,12485995
3047,訊舟,-,-16.85,526245,14.7,381448,437543,14.7,381448,437543
3062,建漢,-,-3.66,462264,28.21,347337,445333,28.21,347337,445333
3138,耀登,-,-0.35,100662,20.12,83499,100301,20.12,83499,100301
3311,閎暉,-,-11.44,182818,-11.19,182307,161900,-11.19,182307,161900
3380,明泰,-,-33.5,3600333,45.65,1643660,2394050,45.65,1643660,2394050
3419,譁裕,因子公司蘇州華廣電通有限公司已於109年8月出售100%股份，並喪失控制力，故修正109年之合併營收(更改為不包含該營收)。,0.99,137211,34.96,102678,138577,34.96,102678,138577
3596,智易,-,19.28,2723767,22.31,2656331,3249096,22.31,2656331,3249096
3669,圓展,本月較去年同期增加主要係因出貨量增加所致。,5.55,341985,176.46,130571,360984,176.46,130571,360984
3682,亞太電,-,-21.43,1416743,-3.83,1157329,1113002,-3.83,1157329,1113002
3694,海華,109年農曆春節休假影響及電腦需求增加,-1.69,898764,130.1,383960,883527,130.1,383960,883527
3704,合勤控,本月營收較去年同期增加，主係本期國內及北美地區出貨增加。,-34.56,3399773,52.28,1460795,2224607,52.28,1460795,2224607
4904,遠傳,-,-8.7,8124806,8.76,6819232,7417245,8.76,6819232,7417245
4906,正文,1.去年疫情基期低 2. 新客戶、新產品帶動營收成長,1.09,1682964,80.19,944226,1701474,80.19,944226,1701474
5388,中磊,-,-7.84,3314044,43.41,2129587,3054064,43.41,2129587,3054064
6136,富爾特,-,6.44,52098,-35.57,86080,55456,-35.57,86080,55456
6142,友勁,-,-58.23,385064,-22.87,208504,160808,-22.87,208504,160808
6152,百一,主要係因客戶需求增加,-39.68,410507,57.75,156951,247593,57.75,156951,247593
6216,居易,訂單增加,-3.33,79251,92.74,39748,76611,92.74,39748,76611
6285,啟��,-,-8.81,5935161,10.28,4907168,5411717,10.28,4907168,5411717
6416,瑞祺電通,-,-25.33,555935,-7.49,448734,415107,-7.49,448734,415107
6426,統新,-,9.37,42741,-6.27,49881,46750,-6.27,49881,46750
6442,光聖,光通訊產品銷售成長,46.04,196366,66.66,172075,286787,66.66,172075,286787
6674,鋐寶科技,-,-8.8,279552,33.4,191098,254929,33.4,191098,254929
8011,台通,-,-9.8,138538,43.37,87154,124961,43.37,87154,124961
8101,華冠,主要客戶出貨量一直下滑，導致營收較去年同期降低,-41.96,219568,-25.53,171112,127425,-25.53,171112,127425
1471,首利,-,-30.62,94405,33.16,49182,65492,33.16,49182,65492
1582,信錦,營業收入較去年同期增加，主要係因本期客戶需求提升，去年同期遇春節假期、又因新冠肺炎影響所致。,-5.38,929438,56.41,562207,879364,56.41,562207,879364
2059,川湖,-,-4.53,473340,29.95,347704,451859,29.95,347704,451859
2308,台達電,-,-6.66,26908434,29.92,19330593,25115225,29.92,19330593,25115225
2313,華通,-,-9.92,5593491,24.53,4045829,5038378,24.53,4045829,5038378
2316,楠梓電,-,-1.48,459276,29.97,348110,452464,29.97,348110,452464
2327,國巨,與去年同期比較營收增加，主要是因歐美市場需求強勁及大中華區客戶於農曆年前增加備貨所致。。,9.33,7327819,142.66,3301746,8012179,142.66,3301746,8012179
